step,jet-train-acc,jet-validate-acc,jet-test-acc,,red-train-acc,red-validate-acc,red-test-acc,,fu-jet-train-acc,fu-jet-validate-acc,fu-jet-test-acc,,vgg-train-acc,vgg-validate-acc,vgg-test-acc,,fu-red-train-acc,fu-red-validate-acc,fu-red-test-acc,,3-jet-train-acc,3-jet-validate-acc,3-jet-test-acc
26000,0.742826363,0.760355581,0.764245019,,0.632335331,0.654665653,0.65918631,,0.686675981,0.766560058,0.765841513,,0.631319277,0.730507716,0.73624612,,0.601974586,0.704351522,0.708412335,,0.680469198,0.771380768,0.774354242
27000,0.744565866,0.763947148,0.767700712,,0.633085531,0.657028248,0.661470711,,0.687053229,0.763504986,0.762806402,,0.631270635,0.731390014,0.737095952,,0.603330784,0.70329116,0.707396679,,0.684610008,0.773645725,0.776995538
28000,0.746051004,0.760326942,0.76418073,,0.634820899,0.658670696,0.66296398,,0.686658528,0.762508742,0.761757791,,0.631635306,0.730359394,0.736077582,,0.603246736,0.704447925,0.708557196,,0.687884273,0.778020421,0.782021455
29000,0.74777841,0.764234825,0.768072941,,0.635889105,0.65752077,0.661945682,,0.688613142,0.764644184,0.76381498,,0.631514689,0.730858051,0.736593038,,0.603103649,0.704928403,0.709128188,,0.693279438,0.778450898,0.782516815
30000,0.748089002,0.76493207,0.768690522,,0.636822836,0.660392602,0.664722316,,0.688733112,0.767616375,0.766936908,,0.6318132,0.732226216,0.737980022,,0.603860121,0.706449806,0.710630761,,0.696889422,0.781826334,0.786010009
31000,0.750154656,0.767524106,0.771217359,,0.637846172,0.662077374,0.666324394,,0.689593842,0.769057544,0.768541907,,0.63154442,0.731759218,0.737500946,,0.604638693,0.704456911,0.708783288,,0.699396591,0.781403163,0.784956057
32000,0.752021123,0.767960835,0.771689895,,0.638994867,0.661434994,0.665697458,,0.689964528,0.766593509,0.765807634,,0.631468609,0.73187943,0.737587107,,0.604855104,0.706154974,0.710474544,,0.702668078,0.783505127,0.787538617
33000,0.753750677,0.768875988,0.772432546,,0.640014014,0.663320048,0.667487719,,0.691808974,0.768697806,0.768001817,,0.631811607,0.731165799,0.736934257,,0.604924171,0.705212193,0.709612578,,0.705195075,0.78698928,0.791326397
34000,0.755174765,0.770667439,0.774065724,,0.641634661,0.66436844,0.668349382,,0.693288866,0.769817498,0.769213288,,0.632564931,0.731450803,0.737200267,,0.604888758,0.705448641,0.709879212,,0.708065767,0.787740703,0.792017416
35000,0.757064463,0.773170256,0.776594986,,0.642879174,0.666800838,0.670570837,,0.69482447,0.768830869,0.76817404,,0.632057798,0.731288534,0.736984511,,0.605624618,0.705936545,0.710395771,,0.708716513,0.790889228,0.795718598
36000,0.758947674,0.773826103,0.777349934,,0.643744437,0.667531338,0.67136626,,0.6940783,0.767390514,0.766783862,,0.632356107,0.731990249,0.737697167,,0.605962093,0.706402714,0.710798012,,0.710992548,0.790999159,0.79572001
37000,0.760147758,0.773128236,0.776429856,,0.645150824,0.668779595,0.672522614,,0.693523094,0.768405053,0.767591338,,0.632860402,0.732184408,0.737894557,,0.606275709,0.705133213,0.709601876,,0.7133585,0.791288345,0.796066865
38000,0.761384556,0.776486705,0.77998175,,0.646562528,0.669777735,0.673392512,,0.695164238,0.770852753,0.770110159,,0.632819787,0.732256702,0.737908623,,0.605941471,0.707286715,0.711712921,,0.714430332,0.793530397,0.798162766
39000,0.763848478,0.777170848,0.780315662,,0.647113353,0.670713195,0.674329966,,0.696116749,0.772054228,0.771401685,,0.633349563,0.73217486,0.737822426,,0.60663735,0.706500827,0.710900195,,0.716917826,0.79445125,0.799375931
40000,0.764643892,0.777395378,0.780462037,,0.648522789,0.670172729,0.673869146,,0.695803992,0.769562512,0.768979771,,0.632768511,0.730604024,0.736231354,,0.606693951,0.707166538,0.711571892,,0.717249648,0.794926622,0.799743557
41000,0.766422054,0.77679748,0.779948975,,0.64968269,0.672143248,0.675676533,,0.696736291,0.771283493,0.770614416,,0.632952067,0.732483427,0.738157285,,0.60725194,0.706888848,0.71130404,,0.719167586,0.795567613,0.800080314
42000,0.767438947,0.779245042,0.782423097,,0.650809342,0.673231263,0.676909203,,0.696262694,0.769240727,0.768509216,,0.633269383,0.73388445,0.739578801,,0.607924856,0.706722775,0.711117249,,0.720165569,0.796568323,0.801282101
43000,0.769449493,0.777728299,0.78103175,,0.65235461,0.673817256,0.67746472,,0.697067124,0.773525182,0.772956233,,0.633422577,0.733163164,0.738843044,,0.608176292,0.708093473,0.71251113,,0.719669869,0.797063402,0.802111317
44000,0.771203599,0.784015057,0.786918131,,0.653609889,0.67593711,0.679441131,,0.696840278,0.770438704,0.769894259,,0.633164112,0.73285988,0.738493694,,0.608203586,0.706043023,0.710476831,,0.721132975,0.796551129,0.801289997
45000,0.77339539,0.783504605,0.786330496,,0.654661822,0.676328828,0.679864436,,0.697861861,0.773311587,0.772687621,,0.634059101,0.734254469,0.739853728,,0.608258449,0.708714176,0.713185696,,0.720435463,0.796925777,0.801975794
46000,0.773913836,0.786185083,0.788872377,,0.655672393,0.677355918,0.680821767,,0.699094066,0.770710972,0.770081224,,0.634210777,0.733989404,0.73953733,,0.608868049,0.708826516,0.713354833,,0.722550472,0.799297508,0.804837409
47000,0.775902705,0.785683071,0.788515606,,0.657159942,0.678092735,0.681461409,,0.7003975,0.773981529,0.773378618,,0.633622945,0.735115049,0.740703512,,0.609141742,0.707989653,0.712523977,,0.722824191,0.797329932,0.802498376
48000,0.777492854,0.786994998,0.789635667,,0.658179988,0.680963538,0.684169624,,0.699428274,0.774038013,0.773424335,,0.633669628,0.734675172,0.740246413,,0.60972104,0.707896391,0.712406487,,0.721192037,0.799061042,0.804498685
49000,0.778605571,0.786678102,0.789459109,,0.659292664,0.681813389,0.684988115,,0.699600056,0.773906401,0.773319209,,0.63410021,0.733871676,0.739379368,,0.609599264,0.71057221,0.715117704,,0.724386403,0.798588891,0.803740953
50000,0.779346506,0.785734315,0.78856281,,0.661653046,0.682998418,0.686396929,,0.698955766,0.77557132,0.774883568,,0.63427903,0.734622998,0.740110954,,0.610122163,0.709647797,0.714203014,,0.72436554,0.798621835,0.804113682
51000,0.781358988,0.787943401,0.790634363,,0.661944483,0.682959928,0.686245558,,0.699937537,0.774785906,0.774267848,,0.63463061,0.733421778,0.738931708,,0.610172175,0.710547016,0.715027095,,0.724975651,0.799241939,0.804469559
52000,0.782810697,0.787591184,0.790282869,,0.66290752,0.685762668,0.688976318,,0.700231457,0.771388118,0.770679479,,0.634425645,0.734969159,0.740426869,,0.610626476,0.709206451,0.713810401,,0.725052306,0.79976753,0.805281172
53000,0.784763598,0.792952399,0.795553759,,0.664477009,0.68576293,0.68902523,,0.700819455,0.770288171,0.76947583,,0.634782531,0.734053503,0.739549844,,0.611165837,0.710021205,0.714551635,,0.726523701,0.800760331,0.806233538
54000,0.785648048,0.792754654,0.795389178,,0.665962147,0.687865564,0.690953379,,0.69991392,0.773625561,0.773077571,,0.634156617,0.733366903,0.73896397,,0.611115757,0.708628213,0.713205578,,0.725492818,0.799436725,0.805035446
55000,0.787296778,0.7965892,0.799122062,,0.6667395,0.68696444,0.690084205,,0.700507185,0.772132112,0.771499476,,0.634433162,0.734607046,0.740172823,,0.611610977,0.710592537,0.71514521,,0.725996432,0.799398811,0.805110424
56000,0.788325641,0.793531021,0.796097855,,0.668192567,0.689027015,0.692023791,,0.70120537,0.776562343,0.776120364,,0.635005537,0.733581996,0.739137097,,0.611161538,0.710415746,0.714943223,,0.726216187,0.799838246,0.805584741
57000,0.78986785,0.794010674,0.796582491,,0.669350992,0.690066097,0.693121438,,0.701708158,0.775592213,0.775065586,,0.634513779,0.733707349,0.739251078,,0.611319314,0.709654839,0.71423202,,0.726054131,0.799156937,0.804834692
58000,0.791448772,0.79555849,0.798042216,,0.671853558,0.692215986,0.695176547,,0.701359715,0.77325883,0.77273789,,0.634855649,0.73381455,0.739391161,,0.612145675,0.710767775,0.715310456,,0.724263594,0.797675893,0.803531919
59000,0.793094905,0.797033375,0.799393258,,0.672637232,0.692594083,0.695504478,,0.702166616,0.771985277,0.771318996,,0.634774083,0.733691881,0.739294599,,0.613161756,0.712269357,0.716723319,,0.724368971,0.798597411,0.804505019
60000,0.793640996,0.799029285,0.801630273,,0.673350322,0.693636266,0.696521308,,0.701059973,0.773922906,0.773388736,,0.635140561,0.734280812,0.739924491,,0.612980077,0.711829368,0.716309886,,0.723229343,0.798003479,0.803839577
61000,0.794696443,0.797971853,0.800329089,,0.674464863,0.695316785,0.698108691,,0.701866218,0.77593621,0.775279847,,0.635208786,0.733221194,0.738801455,,0.613711498,0.710845117,0.715423257,,0.723528107,0.798006123,0.803895126
62000,0.797039901,0.800985712,0.803332554,,0.675225347,0.695087074,0.698027077,,0.70335908,0.773806642,0.773368851,,0.634655641,0.733797299,0.739401839,,0.613657496,0.712426868,0.71696502,,0.723584124,0.797753357,0.803774412
63000,0.797907743,0.801762487,0.804001476,,0.676147724,0.696631483,0.699407824,,0.703637338,0.774814942,0.774071375,,0.635139208,0.734220533,0.739800323,,0.61370838,0.712825455,0.717400689,,0.724233863,0.798829428,0.804771347
64000,0.799675877,0.801748772,0.804081468,,0.6772811,0.698201438,0.700954057,,0.704461568,0.778143981,0.777579217,,0.634526947,0.734101943,0.739718706,,0.614434542,0.712858059,0.71749136,,0.723884463,0.798450692,0.804788524
65000,0.800775866,0.802681474,0.804804962,,0.678663629,0.699099933,0.701800563,,0.702384253,0.777478786,0.77687935,,0.635592636,0.734363948,0.739946449,,0.613839926,0.713158576,0.717901023,,0.724159429,0.799402161,0.805375909
66000,0.801918088,0.802302884,0.804565691,,0.679781099,0.700452775,0.703139473,,0.70226549,0.774645203,0.774133774,,0.63513781,0.73351044,0.739072603,,0.614388204,0.714127232,0.718915988,,0.72529837,0.798754972,0.804848076
67000,0.803193669,0.806072628,0.808129727,,0.681127929,0.700769405,0.703344149,,0.703682196,0.776671408,0.776054671,,0.635263296,0.734506813,0.740126068,,0.614855178,0.713680066,0.718535976,,0.72458075,0.79774608,0.803946062
68000,0.804930268,0.806625631,0.808715877,,0.682379453,0.70173025,0.704196196,,0.703136689,0.77766096,0.777193989,,0.635479894,0.735176952,0.740809961,,0.615340953,0.713460844,0.718507292,,0.72502706,0.798773451,0.805007473
69000,0.806385615,0.808036342,0.81003174,,0.683609346,0.703265231,0.705717045,,0.703695489,0.776347567,0.775626002,,0.63586333,0.73237069,0.738026764,,0.615425013,0.714663577,0.719679176,,0.724400797,0.798388674,0.804527358
70000,0.80762606,0.807986856,0.810027871,,0.684472642,0.703840715,0.706286971,,0.705032223,0.776309025,0.775687697,,0.634925682,0.733152611,0.738826435,,0.616394544,0.715432218,0.720592218,,0.725472817,0.799590652,0.80577577
71000,0.808657258,0.808280371,0.810362771,,0.685687848,0.705938885,0.708234435,,0.7052201,0.778425767,0.777776831,,0.635470191,0.733764744,0.73940733,,0.617170137,0.713886466,0.718974274,,0.72647208,0.799536033,0.805615568
72000,0.81003174,0.81045626,0.812477921,,0.686774563,0.70652105,0.708794837,,0.703925203,0.773306377,0.772560676,,0.636285029,0.734094203,0.73975513,,0.61647765,0.713731528,0.718893081,,0.725158341,0.800455445,0.806779094
73000,0.811070308,0.810431366,0.812279175,,0.687753306,0.70762316,0.709897767,,0.704415117,0.777567969,0.776941231,,0.635692785,0.733831769,0.7394858,,0.617532305,0.71469065,0.719926639,,0.725361219,0.800714138,0.807077032
74000,0.812378047,0.810230499,0.812221086,,0.689199846,0.707788621,0.710222581,,0.705653642,0.778342668,0.777689304,,0.636155121,0.734590431,0.740309365,,0.616472742,0.715008762,0.720228188,,0.726870456,0.799573772,0.805482697
75000,0.813968734,0.811626035,0.813565219,,0.689934881,0.709229241,0.7115298,,0.705392535,0.780642452,0.780255116,,0.63587808,0.734461349,0.740071081,,0.616824109,0.715306038,0.720587235,,0.72650981,0.799529305,0.805850656
76000,0.815329561,0.811695407,0.813472061,,0.691172141,0.710216942,0.712603365,,0.70632693,0.778059371,0.777499973,,0.636329869,0.734650582,0.740321939,,0.6178345,0.71656449,0.721794221,,0.727361779,0.799777914,0.805913489
77000,0.816628675,0.814798253,0.816426196,,0.692275645,0.712301555,0.714658222,,0.705137595,0.776168931,0.775514275,,0.636143652,0.735875684,0.741570179,,0.617958871,0.714598712,0.719894818,,0.725154309,0.799850276,0.806252481
78000,0.817299197,0.813470656,0.815121822,,0.693391452,0.712191925,0.7144941,,0.705286512,0.77591703,0.775277278,,0.63640218,0.734735428,0.740514066,,0.617990522,0.7147905,0.719970854,,0.725968422,0.799790856,0.806100428
79000,0.818152608,0.815754143,0.817360698,,0.694555047,0.714436892,0.716672039,,0.705252524,0.777691371,0.777143309,,0.636456301,0.735011151,0.740735129,,0.61843757,0.716307575,0.721521768,,0.72780745,0.798673811,0.804873965
80000,0.820273564,0.817540115,0.818920468,,0.69562841,0.714329618,0.716651095,,0.705067761,0.774579908,0.773797634,,0.636725846,0.736033318,0.741711653,,0.618570847,0.717645304,0.72274502,,0.725298947,0.799155346,0.805717164
81000,0.820927292,0.817116019,0.818539685,,0.696537541,0.715333202,0.717498581,,0.706738262,0.77766626,0.777077464,,0.636707708,0.733971944,0.739713948,,0.619108038,0.717475528,0.722588217,,0.726748732,0.799832044,0.806226762
82000,0.822292532,0.818672557,0.819975262,,0.697788897,0.717197252,0.719254798,,0.707530985,0.778034982,0.777403533,,0.636086944,0.734413387,0.740111511,,0.619018914,0.715842925,0.720977053,,0.725257301,0.800395086,0.806663199
83000,0.823120516,0.818330842,0.819540366,,0.699028685,0.718502797,0.720530808,,0.705975027,0.778843702,0.778239054,,0.636563706,0.734212983,0.739978126,,0.618958368,0.716279391,0.721461139,,0.727672071,0.799956611,0.806214368
84000,0.824198472,0.816986914,0.818282607,,0.699928737,0.716990848,0.719130501,,0.706590345,0.777415549,0.776666112,,0.636591039,0.736306951,0.742100808,,0.619959319,0.717114344,0.722116061,,0.726821684,0.800115977,0.806572021
85000,0.825574584,0.817316854,0.818607702,,0.700895467,0.719068492,0.72104814,,0.707262374,0.777041309,0.77626834,,0.636181529,0.733289331,0.739008328,,0.619570785,0.716199599,0.721404399,,0.72821047,0.800045082,0.806345904
86000,0.827002682,0.823495023,0.824456059,,0.701448065,0.720260564,0.722180576,,0.707684436,0.778659379,0.778011106,,0.63594037,0.734836405,0.740616461,,0.61925344,0.717762512,0.722878165,,0.726662034,0.799406164,0.8060222
87000,0.827855738,0.821293788,0.822258866,,0.702582046,0.721132811,0.723213116,,0.708381838,0.775140611,0.774436321,,0.637355351,0.735002156,0.740716781,,0.620080629,0.718074353,0.723127608,,0.725773658,0.800722484,0.807342801
88000,0.828994205,0.8226069,0.823518525,,0.7040073,0.723129736,0.725036112,,0.707714071,0.779208689,0.778594596,,0.637263328,0.734767104,0.740540336,,0.620813721,0.718434515,0.723512167,,0.726341513,0.800096585,0.806391673
89000,0.830706749,0.82435382,0.825181369,,0.705148813,0.724071644,0.725946739,,0.707951827,0.779542388,0.778851332,,0.637324073,0.735247366,0.741011368,,0.620912777,0.718117077,0.723326152,,0.725477421,0.799386458,0.805823309
90000,0.83174023,0.823411938,0.824321268,,0.706527693,0.725447161,0.727287058,,0.708204806,0.781536058,0.780945959,,0.636300285,0.734837425,0.740597162,,0.621260521,0.718122943,0.723252267,,0.725121644,0.798809656,0.805302687
91000,0.832801204,0.822386536,0.823389112,,0.707720274,0.724272844,0.726374095,,0.705725816,0.77917046,0.778573089,,0.637347154,0.736695541,0.742526643,,0.620984391,0.718834676,0.723976037,,0.725114288,0.798794091,0.805285044
92000,0.833216947,0.824372455,0.825099433,,0.708661649,0.727318785,0.729172468,,0.707229372,0.780710189,0.780099452,,0.636715612,0.735044005,0.740701655,,0.622241561,0.717603162,0.722675286,,0.726607952,0.798739892,0.804994372
93000,0.834645539,0.825508517,0.8261485,,0.709615156,0.728060457,0.729963711,,0.708114702,0.780648475,0.779914121,,0.637721195,0.734585223,0.740442118,,0.622060122,0.718180904,0.72323485,,0.725896577,0.798687855,0.805083994
94000,0.835867259,0.825239153,0.825911669,,0.710776436,0.728955302,0.730837751,,0.70909464,0.782728346,0.782170973,,0.637011126,0.734329046,0.740139295,,0.622094993,0.719205181,0.724238285,,0.725531898,0.798958862,0.805338294
95000,0.836955618,0.825305441,0.826105719,,0.711787028,0.729075011,0.730968172,,0.709331733,0.778856911,0.778130468,,0.637189153,0.73534428,0.741031303,,0.622889859,0.720252233,0.72520661,,0.72616386,0.799220743,0.805505096
96000,0.837993675,0.827073904,0.827794657,,0.713223106,0.731195855,0.733062105,,0.708095304,0.780066113,0.779526427,,0.637558547,0.733791109,0.73959019,,0.622567737,0.719369758,0.724391925,,0.724624015,0.798917076,0.805382476
97000,0.838572192,0.827955163,0.828593367,,0.714121825,0.731079272,0.732947236,,0.709297572,0.782582429,0.782084557,,0.637461345,0.735671621,0.741515846,,0.622587826,0.720729692,0.725703052,,0.725605393,0.799308843,0.805436289
98000,0.839991172,0.828492833,0.829238885,,0.71515497,0.732243552,0.734105611,,0.708106137,0.782174322,0.781588188,,0.637750405,0.735640293,0.741396199,,0.623620221,0.719226181,0.724252016,,0.725946327,0.798982839,0.805477648
99000,0.841167046,0.830227663,0.830609642,,0.716055093,0.733063535,0.734769375,,0.709391913,0.779875047,0.779324652,,0.637249546,0.734830476,0.740653149,,0.62339995,0.718571575,0.723792624,,0.724735308,0.79859779,0.80514492
100000,0.842289022,0.830893952,0.831472705,,0.717625732,0.734521585,0.736244438,,0.708270799,0.779023432,0.778423507,,0.637809144,0.735864114,0.741627726,,0.62381235,0.719368573,0.724443712,,0.725598355,0.798437333,0.804849859
101000,0.842694548,0.829592611,0.830149528,,0.718235177,0.736196505,0.737813394,,0.708535164,0.78219945,0.781624628,,0.637747305,0.736088212,0.741948017,,0.623821367,0.718986246,0.724006931,,0.725719601,0.798758727,0.8051595
102000,0.843802091,0.830967383,0.83140154,,0.719651977,0.73700156,0.738718586,,0.7104538,0.782868076,0.782217945,,0.637606788,0.735476133,0.741305716,,0.623533353,0.719579047,0.724712139,,0.726856839,0.799013782,0.805373857
103000,0.845132185,0.83159719,0.832165476,,0.720442046,0.738373071,0.740071867,,0.711322239,0.78008007,0.779394511,,0.63744879,0.734669523,0.740585848,,0.624122086,0.719885087,0.724974834,,0.725608188,0.798546065,0.804745102
104000,0.846133937,0.832667666,0.833171627,,0.721583882,0.739880178,0.741404524,,0.710014227,0.779340115,0.778621878,,0.637534505,0.734743148,0.740612804,,0.624982076,0.720894509,0.725955221,,0.725976612,0.799441936,0.805540015
105000,0.847134694,0.833716792,0.834105168,,0.72245551,0.740110361,0.741578728,,0.710064006,0.785141145,0.784559929,,0.636930897,0.735197839,0.741041424,,0.624135312,0.719983082,0.725185456,,0.724439364,0.798644193,0.804892835
106000,0.848223211,0.83485591,0.835116511,,0.723772717,0.740531152,0.742160026,,0.709759679,0.779576045,0.778793771,,0.638447839,0.735825276,0.741705909,,0.625178588,0.720090115,0.725010993,,0.725061509,0.798541443,0.80488975
107000,0.848528442,0.833532981,0.834158479,,0.724720934,0.742509323,0.744071755,,0.709236062,0.785798018,0.785167592,,0.636748733,0.736221714,0.742126546,,0.625214285,0.720322255,0.725447204,,0.724746206,0.799549556,0.805835037
108000,0.850188536,0.837423988,0.83768546,,0.725698509,0.742268267,0.743830116,,0.710737725,0.779179197,0.778370783,,0.637655747,0.735005006,0.740842502,,0.62547173,0.720008844,0.725014003,,0.726474574,0.798523709,0.804810676
109000,0.851018445,0.836590098,0.836933491,,0.726919941,0.743645477,0.745154468,,0.709466151,0.780115011,0.7793767,,0.63768294,0.735932165,0.741793575,,0.625064765,0.72031708,0.725363575,,0.725892471,0.798718605,0.804862742
110000,0.852443245,0.838162118,0.83841599,,0.72791739,0.744146834,0.745638076,,0.710770147,0.77964874,0.778814582,,0.637106976,0.735004171,0.74085074,,0.625445041,0.719576436,0.724816427,,0.726865815,0.799338218,0.805832557
111000,0.852832414,0.838044988,0.838107212,,0.728591078,0.74453358,0.746084879,,0.712161253,0.783938133,0.783247116,,0.638766191,0.736319964,0.742017943,,0.626319342,0.721745485,0.726855132,,0.726824445,0.799830503,0.806117638
112000,0.854676425,0.838727528,0.838965835,,0.729831179,0.746540552,0.748030214,,0.713278207,0.785292066,0.784621954,,0.637705426,0.735671523,0.741400842,,0.626708296,0.721049129,0.72612297,,0.727022801,0.799499357,0.805752528
113000,0.854690741,0.84010819,0.840194146,,0.730828137,0.746874615,0.748422222,,0.711526967,0.780871002,0.780175934,,0.637724082,0.737204861,0.743013661,,0.626759204,0.720289039,0.725333278,,0.725571848,0.798874251,0.805388961
114000,0.856052946,0.837785121,0.837874205,,0.731802972,0.748017917,0.749497387,,0.711155229,0.779809915,0.779119621,,0.637965038,0.736854671,0.742742809,,0.626275576,0.721959003,0.726798901,,0.72644201,0.799679951,0.806134438
115000,0.856351564,0.840714847,0.840696583,,0.732824571,0.747893372,0.749518953,,0.710442376,0.783337585,0.782729841,,0.637933905,0.736738933,0.742525732,,0.626826507,0.721460271,0.726501564,,0.72717188,0.799288067,0.80588865
